sentence,label
"Сегодня капитан команды получил награду за сезон, и болельщики активно обсуждают результат.",1
"Пользователи обсуждают, что процессор улучшает качество изображения и стоит своих денег.",0
Картофель нужно аккуратно перемешать перед подачей.,2
"Комментаторы отметили, что боксер попал в состав на игру без лишних ошибок.",1
Рис получает насыщенный вкус с домашним соусом.,2
"В обзоре матча сказали, что велогонщик сохранил преимущество до конца встречи благодаря хорошей подготовке.",1
"В обзоре сказали, что камера показывает высокий результат в тестах и получил хорошие оценки.",0
Защитник сделал точную передачу на тренировочной базе.,1
"После настройки робот-пылесос ускоряет обработку данных, а подключение стало стабильнее.",0
"Пользователи обсуждают, что принтер стал работать быстрее и стоит своих денег.",0
"Пользователи обсуждают, что алгоритм поддерживает беспроводное подключение и стоит своих денег.",0
"В конце встречи хоккеист прошел квалификацию, хотя игра была очень напряженной.",1
"Новый приложение поддерживает новый стандарт связи, поэтому пользователям стало удобнее работать при запуске тяжелых приложений.",0
"Я заметил, что умные часы получил более точную настройку и почти не зависает во время учебы.",0
"Болельщики считают, что защитник получил награду за сезон заслуженно.",1
"Повар советует, чтобы варенье нужно посолить в конце и не потерял текстуру.",2
"Тренировка показала, что защитник готов выступать после напряженной подготовки.",1
Теннисист провел уверенную тренировку во втором тайме.,1
"В обзоре матча сказали, что вратарь прошел квалификацию благодаря хорошей подготовке.",1
"Болельщики считают, что защитник подготовился к турниру заслуженно.",1
"Я добавил немного специй, и сэндвич нужно посолить в конце.",2
Для задачи во время учебы этот процессор подходит лучше старой версии.,0
Боксер выиграл важный матч во втором тайме.,1
После перерыва шахматист установил новый рекорд и помог команде удержать счет.,1
"Повар советует, чтобы печенье готовится за двадцать минут и не потерял текстуру.",2
"В обзоре сказали, что антивирус стал работать быстрее и получил хорошие оценки.",0
Перед подачей домашний хлеб можно дополнить зеленью и свежими овощами.,2
"После настройки умные часы улучшает качество изображения, а подключение стало стабильнее.",0
Легкоатлет показал отличную форму перед домашними болельщиками.,1
"Важно помнить, что торт получается нежным и сытным, особенно в глубокой кастрюле.",2
"Тест показал, что сервер стал стабильнее после обновления, особенно в компьютерной игре.",0
"Болельщики считают, что бегун получил награду за сезон заслуженно.",1
"Специалист объяснил, почему приложение поддерживает беспроводное подключение при ежедневной работе.",0
